sentence,target
"Niestety nie była m z małymi dziećmi . Myślę , że mnóstwo znizek zachęca rodziny z dziećmi , by tu przyjeżdżać . Stąd kłopot z korzystaniem z basenu , tłok , hałas , a nawet brak miejsc w restauracji . Personel niezainteresowany , szczególnie recepcjoniści . , zajęci telefonami , przebywający w drugim pomieszczeniu , czekała m dłuższą chwilę , by zapłacić . Pokój z widokiem na śmietnik , hałas poranny od śmieciarki gratis . Z mojego pokoju również hałas od ulicy , wbrew pozorom samochody jeździły często . Smaczne śniadania i obiadokolacje .",0
"Wizyta odbyła się punktualnie , Pan doktor był miły , z zaangażowaniem mnie wysłuchał jednak jak się później okazało . . . . postawił złą diagnozę ! W moim przypadku problemem była swędząca wysypka która pojawiła się na przedramionach , nogach i dekolcie . Lekarz po obejrzeniu stwierdził , że to świerzb - nie sprawdzał tego pod mikroskopem , mówił jednak z takim przekonaniem że mu uwierzyła m . Wypisał mi leki dla mnie i mojego partnera - gdyż twierdził że on prawdopodobnie się ode mnie zaraził . Diagnoza była na tyle szokująca , że następnego dnia przed zastosowaniem leków ( które mimo wszystko wykupiła m - nie były tanie ) poszła m na wizytę do mojego lekarza rodzinnego który z przekonaniem stwierdził , że to na pewno nie świerzb ! ! Kolejnym krokiem było udanie się do innego dermatologa , który również potwierdził z przekonaniem , że to nie świerzb a . . . pokrzywka . Dostała m maść na pokrzywkę , zmieniła m kosmetyki na dziecięce i po kilku dniach problem zniknął . Dodam jeszcze , że mój partner nie miał żadnych problemów skórnych pomimo iż przebywali śmy razem i korzystali śmy z tej samej pościeli - to tylko potwierdza że diagnoza dr Ludewa była błędna . Jest mi bardzo przykro bo została m narażona na niepotrzebny stres , zakup niepotrzebnych leków oraz stratę czasu .",0
"Dzisiaj zgłosiła m się na Izbę przyjęć szpitala w którym pracuje ten pan "" doktor "" , z potwornym bólem kręgosłupa , kilka lat miała m operację , która pomogła mi wstać z wózka inwalidzkiego i bała m się , że to ponownie nawrót choroby - wypadnięcie dysku . Pielęgniarka zadzwoniła po pana "" : doktora "" aby zszedł mnie zbadać , gdzie on na to powiedział , że mam iśc do tego lekarza , który mnie operował - co nie ma nic wspólnego z tą sytuacją , więc mówię , że to jest coś innego i potrzebuję pomocy , pielęgniarka podała mi telefon , żeby m wytłumaczyła lekarzowi co się dzieje , a ten się rozłączył . Podobno lekarze składają przysięgę - . . "" nie szkodzić "" , temu panu coś się pomyliło ! Dowiedziała m się , że jeśli wezwę karetkę , to mnie przyjmą , a teraz jak sama przyszła m to nie udzieli mi pierwszej pomocy ! ! ! Miała m wyjść przed szpital i zadzwonić po pogotowie ( wcześniej dzwoniła m na pogotowie , żeby zapytać czy mogę jechać do szpitala sama , mowiłam , że nie zabierać karetki , bo może okaze się , że będzie ktoś bardziej jej potrzebował , licząc , że jak sama przyjadę to będzie prościej i dla szpitala i dla lekarzy na dyżurze . Szkoda słów . Taki lekarz nie powinien pracować , jeśli nie może zejsć i ODMAWIA BADANIA PACJENTOWI ! ! ! Zwłaszcza gdy chodzi o sprawę kręgosłupa i całkowitego niedowładu lewej strony ciała ! ! ! Nie zostawię tak tej sprawy , gdyż po wyjściu ze szpitala przewróciła m się i obcy ludzie pomogli mi się dowlec do auta , gdzie pojechała m do innego lekarza , który widząc w jakim jestem stanie , od razu udzielił mi pierwszej pomocy .",0
"Wszystko czego moglabym oczekiwac , zostalo spelnione na najwyzszym poziomie . Pelen profesjonalizm , swietny kontakt , cudowna opieka po operacji . Ja poddalam sie operacji powiekszenia piersi i jedyne z czego nie jestem zadowolona to rozmiar . Pan doktor bardzo lubi male rozmiary i kazda dziewczyne naklania do rozmiaru mniejszego . Trzeba jednak pamietac , ze piersi wychodza mniejsze niz sie z poczatku wydaje ( po przymierzeniu wkladek ) , dlatego trzeba wybrac rozmiar wiekszy . Ja nie wybralam , bo Pan doktor powiedzial , ze to nieprawda , ze piersi beda mniejsze niz sie poczatkowo wydaje . No i niestety . Wydalam 14 tys zlotych mialam male b przed operacja , mam duze b po operacji . mala roznica , duza luka w portfelu . Ale na obrone pana doktora , piersi wygladaja naprawde bardzo ladnie . Ogolnie bardzo polecam , ale pamietajcie dziewczyny , upierajcie sie przy swoim i nie bojcie sie wiekszych rozmiarow !",0
"Własnie wrócili śmy z mężem z noworocznego pobytu w hotelu Lubicz . Cały kompleks sprawia imponujące wrażenie już z zewnątrz mimo jeszcze niedokończonego terenu wokół hotelu . Pokój ładnie urządzony , czysty , codziennie sprzątany ale nam zdecydowanie zabrakło lampek do czytania w łóżku - niestety w większości hoteli jest z tym problem - a lampy z nieruchomym materiałowym kloszem nie rozwiązują tego problemu . Trochę była m zła bo zapomniała m z domu swojej mobilnej lampki przyczepianej do ramy łóżka . Baseny świetne , choć rano potrafiły być ciut wyziębione , sauny ok . Problemem są często miejsca parkingowe w podziemnym garażu , choć nam się udało tam zaparkować to wiele osób narzekało , że za 30 zł muszą stać "" pod chmurką "" . Jedzenie obfite , śniadania wspaniałe , bufet bogaty w sałatki , wędliny , sery . Obiady super , pyszne zupy , za każdym razem do wyboru dwa rodzaje ryb - zawsze wspaniałe a my na tym się skupiali śmy . Ogólnie hotel godny polecenia",0
"Badacze zadbali o zgłoszenia patentowe - obejmują one szczegółowe części procesu , całą konstrukcję „ konia trojańskiego ” i jego zastosowanie . Właścicielem patentu jest spółka Cellis – start - up biotechnologiczny . W ramach firmy prof . Król zajmuje się komercjalizacją nowatorskiej metody . Badaczka zaznacza , że choć start - up biotechnologiczny to firma wysokiego ryzyka , to samo jej założenie będzie zawsze zaliczać do udanych przedsięwzięć . Jak wspomina , na początku brakowało jej wiedzy na temat ochrony własności intelektualnej . Do tego , aby ją zdobyć i zastosować , po raz pierwszy namówili ją współpracownicy z Uniwersytetu La Sapienza we Włoszech , gdzie prezentowała swoje badania . W Polsce prof . Król była wśród pierwszych i nielicznych naukowców , którzy założyli start - upy . Cellis powstał w 2016 r . Na SGGW prowadzone były i są badania podstawowe odkrytego mechanizmu , a w ramach start - upu rozpoczęto badania nakierowane na rozwijanie terapii .",0
"Radził by m unikać miejsc , które nie szanują swoich klientów . Razem z moją narzeczoną planowali śmy zrobić tam wesele . W styczniu 2015r . pojawiła się informacja , że restauracja zostanie zamknięta . Oczywiście nie dowiedzieli śmy się tego od właściciela / menedżera , ale ze strony internetowej . Nie pojawiły się żadne informacje o możliwości wznowienia działalności czy też ponownej współpracy aż do końca stycznia . Czy jeśli menedżer lub ktokolwiek z zespołu nie potrafi sobie zadać trudu , żeby poinformować zainteresowane osoby chociażby mailowo , można na nich liczyć w innych sytuacjach ? Wątpię . Ponadto , obsługa nie jest zbyt dobra , a wystrój tandetny - dwudziestolecie międzywojenne "" znakomicie "" współgra z obleśnym namiotem ( notabene szpecącym widok na Staw Sołacki poprzez zasłonięcie zabytkowej fasady ) i plastikowymi drzwiami z lat 90 . Restauracja prosi się o remont i lepsze oświetlenie , bo atmosfera nie jest tam szczególna . To miejsce nie nadaje się nawet na pracowniczą Wigilię .",0
"Jakiś czas temu naukowcy zasugerowali , że takim „ brakującym ogniwem ” mogą być białka prionowe . Priony to peptydowe cząsteczki zakaźne , zdolne do samopowielania się w organizmie gospodarza . W stanie fizjologicznym występują w każdym organizmie i są całkowicie niegroźne . Jednak , gdy w ich strukturze przestrzennej zajdą pewne zmiany , priony stają się niebezpieczne i mogą powodować choroby układu nerwowego . W kilku niezależnych eksperymentach dowiedziono , że białko prionowe PrP , znane powszechnie z wywoływania choroby Creutzfeldta - Jakoba , potrafi przyłączać się do małych złogów beta - amyloidu w mózgu i tylko wówczas , tzn . przy ich udziale , dochodzi do zmian zapoczątkowujących Alzheimera . Jednocześnie twierdzono , że PrP nie jest w stanie wiązać się ani z pojedynczymi cząstkami beta - amyloidu , ani z bardzo dużymi skupiskami tego związku , czyli ma powinowactwo wyłącznie do tzw . oligomerów .",0
"Najgorsze miejsce w jakim bylem , wlascicielka mega chamska i nie mila , jedzenie bardzo slabe , z vegeta na ty chyba sa . Pokoje straszne , skrzypiaca podloga , zimno w pokojach , smrod papierosow , brudne firanki , posciel to juz chyba z 8 sezonow tam lezy , masakra , omijajcie szerokim lukiem , zdzierstwo w bialy dzien , trzeba by tam sanepid naslac i urzad skarbowy bo nawet paragonu fiskalnego nie dostalem a o ktory prosilem 2 razy a za pokoj Pani wlascicielka zada 330 PLN za dobe , skandal ! ! ! ! ! ! ! ! ! ! !",0
"Sorry , ale ludzie piszący recenzje , które oceniają ten hotel na dobry nie byli chyba w dobrym hotelu . Konkrety : 1 . Przybyli śmy o 6 rano , pokój otrzymali śmy o 13 : 30 w starym budownictwie2 . Przez 10 dni na śniadanie to samo : 6 gatunków jaj podanych w formie omletu , gotowanych lub jajecznicy3 . Animacje dla dzieci o 20 a kolacja początek o 19 : 30 - sprint , jakość animacji ok 0 , 5 pkt w skali od 1 - 104 . Raz w tygodniu nie masz wyboru - idziesz na bingo do hali i podaja Ci jedzenie takie jakie uważają za ok . Zanim dotrą do Ciebie uczestniczysz w dziwnym spektaklu ok 1 , 5 h5 . Basen dla dzieci działa ok 3h dziennie , w innym czasie aby dziecko zjechało z zjeżdżalni musi sobie ją polać wodą lub poprosić rodzica6 . Pozostała część gości hotelowych to francuzi z niższej półki kultury : nie znają w ząb ang , byli aroganccy , prości - a np . 1 dzień w tygodniu animacje w formie dowcipów słownych tylko po franc . pozostałe animacje na siłę coś się dzieje . Aby nie było - mogą Państwo zweryfikować , w tej samej kwocie bywali śmy w hotelach : Royal Alhambra - Turcja , Aquis Pelekas - Korfu Grecja , Langham Place - Xiamen Chiny . . . . Nigdy nie pisali śmy reklamacji . To były naszej najbardziej rozczarowujące wakacje , hotel ładnie wygląda ale ma tak wiele niedogranych sytuacji , które drażnią . . .",0
